SegmentID,CorrosionLevel,CorrosionRate
57a63f0e-7c18-487b-99d1-5be36bdaf0a5,1,84.19858719657611
57954d55-957a-4144-bce1-b582417f7bd3,1,81.91481883612038
9be18c15-ee70-4de6-999b-b4d6f487dd9c,3,54.28497040665716
8317d426-99fb-4175-9d9c-7b2c015d5762,4,31.901354836120397
381ba406-9841-4c7e-85d7-59180f19b14a,1,84.32002719657612
b38c419d-0f19-4975-8d7a-d3ff8a77ecbd,3,52.7223948361204
e119faae-ae74-4da6-9e26-8c826a383c58,1,83.52821456820662
a8414705-99ee-4986-b13d-16a8a7b302ab,3,52.344610836120395
70f14523-2812-475a-b7fd-a007d034faa8,1,84.01780240665715
e40eab09-15ae-4676-8833-7b61a8a4d3cf,1,82.52809083612038
a94f0132-e853-46d9-950f-b6e9f23c47bd,1,84.35645919657611
263bcf69-70c8-4f21-80fb-6696028fdd93,3,52.22449083612041
2f073333-58b0-4b36-a87a-865fd3a1e08e,4,33.97147056820663
8c19f633-82df-4936-a459-967d5adc182b,1,82.59963483612039
9b65d0a4-6c84-4068-93a8-a089ea840479,3,54.33692319657611
925f3da7-0a80-424e-b19d-d0582a0902ee,1,82.4552268361204
84d3ecd4-3779-4682-951d-9718a871596e,5,13.482146406657163
c4a2b44a-8ae6-4ce6-a513-82f0fee27920,3,52.6191708361204
67cf1375-2ce6-469a-b1ab-4476386043a4,1,84.09536319657612
e35fc813-63e0-471d-94c5-341fc62c6faf,3,52.660354836120405
New Segment,1,81.91481883612038
Branch East,1,81.9013548361204
Branch North,1,82.1576988361204
6cd985d4-0c25-489e-a4ea-81f30181a6fa,1,82.4478348361204
ecb9b27a-7ed3-43ff-9e07-87292b5bfcba,1,82.1576988361204
70117b18-45d6-4cff-a837-8c25f8a23a8d,1,82.59963483612039
474c830f-406a-4310-b0ca-4409d066ca75,1,82.64345883612039
8f1ebff3-1c26-443c-8240-50c50e1f5ced,1,82.5571308361204
021799ee-1f88-45f9-b0ab-3231f12cb0a9,1,82.52809083612038
396d2a81-dc46-4c3e-bad5-f14762682828,1,82.5571308361204
