SegmentID,CorrosionLevel,CorrosionRate
57a63f0e-7c18-487b-99d1-5be36bdaf0a5,1,86.3879028146825
57954d55-957a-4144-bce1-b582417f7bd3,1,84.9341513616818
9be18c15-ee70-4de6-999b-b4d6f487dd9c,1,86.40816245083845
8317d426-99fb-4175-9d9c-7b2c015d5762,1,85.2863513616818
381ba406-9841-4c7e-85d7-59180f19b14a,1,86.4616171003968
b38c419d-0f19-4975-8d7a-d3ff8a77ecbd,1,85.4243513616818
e119faae-ae74-4da6-9e26-8c826a383c58,1,85.92885060541495
a8414705-99ee-4986-b13d-16a8a7b302ab,1,85.55540850453895
70f14523-2812-475a-b7fd-a007d034faa8,1,86.24599102226702
e40eab09-15ae-4676-8833-7b61a8a4d3cf,1,85.30640850453894
a94f0132-e853-46d9-950f-b6e9f23c47bd,1,86.48373138611107
263bcf69-70c8-4f21-80fb-6696028fdd93,1,85.12212279025323
2f073333-58b0-4b36-a87a-865fd3a1e08e,1,86.1979077482721
8c19f633-82df-4936-a459-967d5adc182b,1,85.71020850453894
9b65d0a4-6c84-4068-93a8-a089ea840479,1,86.83224567182536
925f3da7-0a80-424e-b19d-d0582a0902ee,1,85.26217993311036
84d3ecd4-3779-4682-951d-9718a871596e,1,86.2812195936956
c4a2b44a-8ae6-4ce6-a513-82f0fee27920,1,85.36169421882465
67cf1375-2ce6-469a-b1ab-4476386043a4,1,86.32524567182536
e35fc813-63e0-471d-94c5-341fc62c6faf,1,85.74706564739608
New Segment,1,84.9341513616818
Branch East,1,85.2863513616818
Branch North,1,85.08157993311036
6cd985d4-0c25-489e-a4ea-81f30181a6fa,1,85.61806564739608
ecb9b27a-7ed3-43ff-9e07-87292b5bfcba,1,85.08157993311036
70117b18-45d6-4cff-a837-8c25f8a23a8d,1,85.71020850453894
474c830f-406a-4310-b0ca-4409d066ca75,1,85.37643707596752
8f1ebff3-1c26-443c-8240-50c50e1f5ced,1,85.68440850453894
021799ee-1f88-45f9-b0ab-3231f12cb0a9,1,85.30640850453894
396d2a81-dc46-4c3e-bad5-f14762682828,1,85.68440850453894
